,Classifier,Type,Signal(s),Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
40,MUSE,sktime-multivar,40,6.479096651077271,0.562546968460083,0.9035087719298246,0.9035087719298246,0.9035087719298246,0.4780701754385965,0.9035087719298246,0.9877558724214812
50,MUSE,sktime-multivar,50,10.52560830116272,0.8750662803649902,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.3771929824561403,0.9298245614035088,0.9866595892377154
60,MUSE,sktime-multivar,60,13.869578838348389,1.3041653633117676,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.3508771929824561,0.9210526315789473,0.9889697350336057
30,MUSE,sktime-multivar,30,4.279598474502564,0.4356064796447754,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.4517543859649123,0.8859649122807017,0.9830365932472782
20,MUSE,sktime-multivar,20,2.478710651397705,0.2859485149383545,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.6140350877192983,0.8552631578947367,0.9705799341922456
10,MUSE,sktime-multivar,10,0.9177970886230468,0.1496632099151611,0.5701754385964912,0.5701754385964912,0.5701754385964912,2.223684210526316,0.5701754385964912,0.8535222394421415
15,MUSE,sktime-multivar,15,1.726820945739746,0.201672077178955,0.7850877192982456,0.7850877192982456,0.7850877192982456,1.1710526315789471,0.7850877192982457,0.9519703364010398
35,MUSE,sktime-multivar,35,5.378522634506226,0.4710156917572021,0.9035087719298246,0.9035087719298246,0.9035087719298246,0.4649122807017544,0.9035087719298246,0.9850481461457986
55,MUSE,sktime-multivar,55,10.237347602844238,0.8662612438201904,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.3289473684210526,0.9298245614035088,0.9869058734685692
45,MUSE,sktime-multivar,45,7.599826097488403,0.7183265686035156,0.912280701754386,0.912280701754386,0.912280701754386,0.4780701754385965,0.912280701754386,0.9886184670862772
25,MUSE,sktime-multivar,25,3.1900641918182373,0.3430826663970947,0.868421052631579,0.868421052631579,0.868421052631579,0.6403508771929824,0.868421052631579,0.9757654844644392
